167,자연느낌,자연느낌 골드오 롱팬티라이너,https://post-phinf.pstatic.net/MjAyMTAzMDNfMjQ0/MDAxNjE0NzQ0Mzc2OTky.t62lKjRMd9Iz8vo7629imkYSip1QLP7A4BWynya3Zy4g.asJ5lEh8462SoC6d44-2vZGq3aWeoQ4F5lmji12ZQRAg.PNG/image.png?type=w1200,"['스타이렌', 'Styrene', '0.295', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['2-프로판올', 'isopropyl alcohol', '0.123', ['눈 자극', '어지럼증', '졸음']]","['노난', 'nonane', '0.057', ['피부 자극', '호흡기 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['데칸', ' decane', '0.057', ['']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '0.516', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '0.369', ['']]","['노나날', 'Nonanal', '0.467', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '0.927', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '1.157', ['']]","['트리데칸', 'Tridecanen', '0.976', ['']]","['테트라데칸', 'Tetradecanen', '3.865', ['']]","['n-펜타데칸', 'n-Pentadecane', '1.567', ['']]","['n-헥사데칸', 'n-Hexadecane', '2.806', ['']]",,,,,,,,,,,,,,,,,,,,,,
168,리버티,리버티 오가네이처 팬티라이너,https://post-phinf.pstatic.net/MjAyMTAzMDNfMjgw/MDAxNjE0NzQzOTg2NDE2.In1nVX5TLp9TCnpJ_HbLMzl5cVeM2g0dXD2BifSydoEg.leuuy6l2yfFTnY7OZnIv35HiEtHvG9fg2kFlGbfTBjYg.PNG/image.png?type=w1200,"['스타이렌', 'Styrene', '1.114', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['2-프로판올', 'isopropyl alcohol', '0.359', ['눈 자극', '어지럼증', '졸음']]","['노난', 'nonane', '0.118', ['피부 자극', '호흡기 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['데칸', ' decane', '0.101', ['']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '0.758', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '0.25', ['']]","['노나날', 'Nonanal', '0.616', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '0.889', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '1.204', ['']]","['트리데칸', 'Tridecanen', '0.507', ['']]","['테트라데칸', 'Tetradecanen', '3.427', ['']]","['n-펜타데칸', 'n-Pentadecane', '0.749', ['']]","['n-헥사데칸', 'n-Hexadecane', '2.909', ['']]","['아세톤', 'acetone', '0.29', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]",,,,,,,,,,,,,,,,,,,,,
169,블루블루,블루블루 롱 팬티라이너,https://post-phinf.pstatic.net/MjAyMTAzMDNfMjgg/MDAxNjE0NzQzNTEzNjg2.B8fI10XCAZNASbMNsswTkxPEE6yFeAexEGgyZuvyJ9cg.AJiqhXKYJ-ERCjsrmvBME-FQITNPMm2bScUPKNASavgg.PNG/image.png?type=w1200,"['스타이렌', 'Styrene', '0.049', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['2-프로판올', 'isopropyl alcohol', '0.234', ['눈 자극', '어지럼증', '졸음']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '0.178', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['p-시멘', 'p-Cymene', '0.459', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '0.121', ['']]","['노나날', 'Nonanal', '0.544', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '1.213', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['(1S)-(-)-알파-피넨', '(1S)-(-)-alpha-Pinene', '0.177', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '1.872', ['']]","['트리데칸', 'Tridecanen', '1', ['']]","['테트라데칸', 'Tetradecanen', '9.675', ['']]","['n-펜타데칸', 'n-Pentadecane', '2.359', ['']]","['n-헥사데칸', 'n-Hexadecane', '9.507', ['']]","['에탄올', 'ethanol', '0.72', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]","['아세톤', 'acetone', '0.8', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['1-부탄올', '1-butanol', '0.73', ['피부 자극', '눈 자극', '호흡기 자극', '어지럼증', '졸음']]",,,,,,,,,,,,,,,,,,,
170,수비,수비 울트라씬 롱 팬티라이너,https://post-phinf.pstatic.net/MjAyMTAzMDNfMjc5/MDAxNjE0NzQzMDg3NDkx.47B9odN4b5KVbw9pZ173YECDJxijUjRfulM-KN5Pj4wg.CpoN4oPKlsY6OQ-kw7r4WPh-dPzOSjFGOgHNhmmGnMUg.PNG/image.png?type=w1200,"['스타이렌', 'Styrene', '0.214', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['톨루엔', 'Toluene', '0.068', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['(p-, m-, o-)자일렌', 'xylene', '0.145', ['피부 자극', '눈 자극', '호흡기 자극', '수생 생물에 대한 장기적 피해']]","['노난', 'nonane', '0.046', ['피부 자극', '호흡기 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '0.465', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '0.19', ['']]","['노나날', 'Nonanal', '0.297', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '0.888', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '1.119', ['']]","['트리데칸', 'Tridecanen', '1.387', ['']]","['테트라데칸', 'Tetradecanen', '2.428', ['']]","['n-펜타데칸', 'n-Pentadecane', '2.36', ['']]","['n-헥사데칸', 'n-Hexadecane', '2.834', ['']]","['아세톤', 'acetone', '0.33', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]",,,,,,,,,,,,,,,,,,,,,
171,나도그래,나도그래 팬티라이너 롱,https://post-phinf.pstatic.net/MjAyMTAzMDNfNiAg/MDAxNjE0NzEyMjYyNjE0.uka5ZyYplHfJhlDGiPIKscuu5Yv_Dfz3EykCywx4FfYg.Hhi06dO12Ig7__cSngmaiBX09Z6qlOz9WgR5B-dZHUog.PNG/image.png?type=w1200,"['스타이렌', 'Styrene', '0.257', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['(p-, m-, o-)자일렌', 'xylene', '0.245', ['피부 자극', '눈 자극', '호흡기 자극', '수생 생물에 대한 장기적 피해']]","['2-프로판올', 'isopropyl alcohol', '0.332', ['눈 자극', '어지럼증', '졸음']]","['노난', 'nonane', '0.043', ['피부 자극', '호흡기 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '0.636', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '0.189', ['']]","['노나날', 'Nonanal', '0.799', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '1.213', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '1.6', ['']]","['트리데칸', 'Tridecanen', '0.43', ['']]","['테트라데칸', 'Tetradecanen', '2.694', ['']]","['n-펜타데칸', 'n-Pentadecane', '0.249', ['']]","['n-헥사데칸', 'n-Hexadecane', '2.237', ['']]","['아세톤', 'acetone', '0.25', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]",,,,,,,,,,,,,,,,,,,,,
172,생활공작소,생활공작소 롱 팬티라이너,https://post-phinf.pstatic.net/MjAyMTAzMDNfMTk1/MDAxNjE0NzExOTA2MjUw.NW98bhhd77nCso8S5NgGEEuYQcZfcspktUrw6BFrVBcg._LV7TKHIqgFqWT72S5E8FFTUQOioC-3cOKjyO1DrPkQg.PNG/image.png?type=w1200,"['스타이렌', 'Styrene', '1.881', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['노난', 'nonane', '0.163', ['피부 자극', '호흡기 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['데칸', ' decane', '0.506', ['']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '1.229', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '0.452', ['']]","['노나날', 'Nonanal', '0.705', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '0.632', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '0.795', ['']]","['트리데칸', 'Tridecanen', '0.687', ['']]","['테트라데칸', 'Tetradecanen', '2.765', ['']]","['n-펜타데칸', 'n-Pentadecane', '0.56', ['']]","['n-헥사데칸', 'n-Hexadecane', '2.458', ['']]",,,,,,,,,,,,,,,,,,,,,,,
173,그날레시피,그날레시피 팬티라이너 롱,https://post-phinf.pstatic.net/MjAyMTAzMDNfMjAz/MDAxNjE0NzExNTc2ODYw.sGQggKdo2raEoajqm0Tbh2NX0MQfvQzyMQw8H8agI9kg.v_Ja9id3WG3wtAkzKglmHenr91l9-vqo7wExK56RLP4g.PNG/image.png?type=w1200,"['스타이렌', 'Styrene', '0.1', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['톨루엔', 'Toluene', '0.037', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['2-프로판올', 'isopropyl alcohol', '0.12', ['눈 자극', '어지럼증', '졸음']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '0.421', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '0.165', ['']]","['노나날', 'Nonanal', '0.521', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '1.704', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '1.531', ['']]","['트리데칸', 'Tridecanen', '0.623', ['']]","['테트라데칸', 'Tetradecanen', '2.903', ['']]","['n-펜타데칸', 'n-Pentadecane', '1.08', ['']]","['n-헥사데칸', 'n-Hexadecane', '3.559', ['']]","['아세톤', 'acetone', '0.43', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]",,,,,,,,,,,,,,,,,,,,,,
174,그날레시피,그날레시피 팬티라이너 일반,https://post-phinf.pstatic.net/MjAyMTAzMDNfMjI4/MDAxNjE0NzExMjY0Mzky.KYJZdPVP4weKUHjgj3m1qavb4YCxjq8CCKjli2vy2_Ag.HZLazm8dMQP4gyVox2ItpMh-VCO0IZ2zWWMxHPcpta0g.PNG/image.png?type=w1200,"['스타이렌', 'Styrene', '0.569', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['노난', 'nonane', '0.054', ['피부 자극', '호흡기 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '1.139', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '0.293', ['']]","['노나날', 'Nonanal', '1.202', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '1.754', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '1.859', ['']]","['트리데칸', 'Tridecanen', '0.671', ['']]","['테트라데칸', 'Tetradecanen', '3.096', ['']]","['n-펜타데칸', 'n-Pentadecane', '0.193', ['']]","['n-헥사데칸', 'n-Hexadecane', '2.725', ['']]","['아세톤', 'acetone', '0.36', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]",,,,,,,,,,,,,,,,,,,,,,,
175,아이스마일,아이스마일 생리대(팬티라이너),https://post-phinf.pstatic.net/MjAyMTAzMDNfMjA0/MDAxNjE0NzEwODAxODg0.m9qMIgYjmKBVh7cO5e4j0HVAGH0LQPbaKve3kyj3F0wg.8QccssNGraRH-2bthabjxIo8_oGuEUw483QJb63-fYYg.PNG/image.png?type=w1200,"['스타이렌', 'Styrene', '0.446', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['톨루엔', 'Toluene', '0.051', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['(p-, m-, o-)자일렌', 'xylene', '0.103', ['피부 자극', '눈 자극', '호흡기 자극', '수생 생물에 대한 장기적 피해']]","['2-프로판올', 'isopropyl alcohol', '1.923', ['눈 자극', '어지럼증', '졸음']]","['2-부타논', '2-Butanone', '0.158', ['눈 자극', '어지럼증', '졸음']]","['에틸아세테이트', 'Ethyl Acetate', '0.092', ['눈 자극', '어지럼증', '졸음']]","['옥탄', 'octane', '0.034', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['노난', 'nonane', '0.067', ['피부 자극', '호흡기 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['데칸', ' decane', '0.278', ['']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '0.177', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '1.238', ['']]","['노나날', 'Nonanal', '1.608', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '1.12', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '2.14', ['']]","['트리데칸', 'Tridecanen', '0.285', ['']]","['테트라데칸', 'Tetradecanen', '3.71', ['']]","['n-펜타데칸', 'n-Pentadecane', '0.411', ['']]","['n-헥사데칸', 'n-Hexadecane', '5.307', ['']]","['에탄올', 'ethanol', '1.62', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]","['아세톤', 'acetone', '0.25', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['1-부탄올', '1-butanol', '3.26', ['피부 자극', '눈 자극', '호흡기 자극', '어지럼증', '졸음']]",,,,,,,,,,,,,,
176,퀸비패드,퀸비패드 면생리대라이너,https://post-phinf.pstatic.net/MjAyMTAzMDNfMTMz/MDAxNjE0NzEwNTEyOTQy.DkjfpC61xK2QAMhRw_bpQ0pVQOy1vCKWZ_FuT7xpHe8g.ZTuMGfVwiVpNNzOofI1k6_JmayPMbASxPA6XNpSZvdog.PNG/image.png?type=w1200,"['2-프로판올', 'isopropyl alcohol', '1.732', ['눈 자극', '어지럼증', '졸음']]","['노나날', 'Nonanal', '5.12', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '11.185', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '0.504', ['']]","['트리데칸', 'Tridecanen', '0.361', ['']]","['테트라데칸', 'Tetradecanen', '0.938', ['']]","['n-펜타데칸', 'n-Pentadecane', '1.875', ['']]","['n-헥사데칸', 'n-Hexadecane', '2.163', ['']]","['에탄올', 'ethanol', '2.79', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]",,,,,,,,,,,,,,,,,,,,,,,,,,
177,미애부,미애부 순수화 프리라이너,https://post-phinf.pstatic.net/MjAyMTAzMDNfMjEz/MDAxNjE0NzA5NzUxMjgx.zA4JqqtAqY5fH9abBBygxaExDx5su6CTldLAMyHOGa0g.6gfGlSAKSfFVw62-qvaGAD7baId2ezLnLdBpwlH8ViIg.PNG/image.png?type=w1200,"['에틸벤젠', 'ethylbenzene', '0.123', ['암 유발', '유전적 결함 발생 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['스타이렌', 'Styrene', '3.02', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['벤젠', 'benzene', '0.041', ['피부 자극', '눈 자극', '암 유발', '유전적 결함 발생 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['톨루엔', 'Toluene', '0.164', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['(p-, m-, o-)자일렌', 'xylene', '0.431', ['피부 자극', '눈 자극', '호흡기 자극', '수생 생물에 대한 장기적 피해']]","['헥산', 'Hexane', '0.298', ['피부 자극', '어지럼증', '졸음', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['에틸아세테이트', 'Ethyl Acetate', '8.228', ['눈 자극', '어지럼증', '졸음']]","['옥탄', 'octane', '0.349', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['노난', 'nonane', '0.811', ['피부 자극', '호흡기 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['데칸', ' decane', '0.308', ['']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '2.034', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '1.099', ['']]","['노나날', 'Nonanal', '0.349', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '0.679', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['(1S)-(-)-알파-피넨', '(1S)-(-)-alpha-Pinene', '0.082', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['(-)-베타-피넨', '(-)-beta-Pinene', '0.185', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '0.679', ['']]","['트리데칸', 'Tridecanen', '1.87', ['']]","['테트라데칸', 'Tetradecanen', '1.346', ['']]","['n-펜타데칸', 'n-Pentadecane', '1.315', ['']]","['n-헥사데칸', 'n-Hexadecane', '1.766', ['']]","['에탄올', 'ethanol', '0.533', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]","['아세톤', 'acetone', '0.62', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]",,,,,,,,,,,,
178,프리냅,프리냅 팬티라이너,https://post-phinf.pstatic.net/MjAyMTAzMDNfMjU0/MDAxNjE0NzA5MjQ3NDM1.fGF9N4ibG4iy0GcGLRFJn8XQRkdRAPzrzQWDToIm8QAg.88g9yOviN4k4h3H3JE0PcTg8bC2kkf_O1QHqmOqH8zAg.PNG/image.png?type=w1200,"['에틸벤젠', 'ethylbenzene', '0.035', ['암 유발', '유전적 결함 발생 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['스타이렌', 'Styrene', '0.547', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['톨루엔', 'Toluene', '0.16', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['2-프로판올', 'isopropyl alcohol', '0.14', ['눈 자극', '어지럼증', '졸음']]","['에틸아세테이트', 'Ethyl Acetate', '0.941', ['눈 자극', '어지럼증', '졸음']]","['부틸아세테이트', 'Butyl Acetate', '0.23', ['어지럼증', '졸음']]","['데칸', ' decane', '0.541', ['']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '0.153', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '0.32', ['']]","['노나날', 'Nonanal', '0.984', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '2.208', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['3-에틸톨루엔', '3-Ethyltoluene', '0.049', ['어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '3.837', ['']]","['트리데칸', 'Tridecanen', '0.383', ['']]","['테트라데칸', 'Tetradecanen', '7.337', ['']]","['n-펜타데칸', 'n-Pentadecane', '0.656', ['']]","['n-헥사데칸', 'n-Hexadecane', '10.117', ['']]","['에탄올', 'ethanol', '2.14', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]","['1-부탄올', '1-butanol', '1.87', ['피부 자극', '눈 자극', '호흡기 자극', '어지럼증', '졸음']]",,,,,,,,,,,,,,,,
179,로한,로한 로하스 면팬티라이너,https://post-phinf.pstatic.net/MjAyMTAzMDNfMjY1/MDAxNjE0NzA4OTMyNjEx.3nPE-EEWBwXT1EPoGumjuZpO6cb1UTlgRnSxn_5sDTog.esLVZaZkJph1TPJwGcevQwl1fogJdFSuH9rUumBIBKIg.PNG/image.png?type=w1200,"['톨루엔', 'Toluene', '0.305', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['노나날', 'Nonanal', '7.369', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '5.769', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '0.363', ['']]","['트리데칸', 'Tridecanen', '1.845', ['']]","['테트라데칸', 'Tetradecanen', '3.897', ['']]","['n-펜타데칸', 'n-Pentadecane', '7.495', ['']]","['n-헥사데칸', 'n-Hexadecane', '23.76', ['']]","['에탄올', 'ethanol', '3.43', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]",,,,,,,,,,,,,,,,,,,,,,,,,,
180,허밍스,허밍스 작은마녀,https://post-phinf.pstatic.net/MjAyMTAzMDNfOTAg/MDAxNjE0NzA4MTAwNzUz.wzl2h_c-dEmloWeL8TVEHREnyTs9HaGH_QNDFnO2SU8g.eVpMBevrTD4KhNA-UhwGZnXSzqvdmI2Fv6G9Ov-9lcQg.PNG/image.png?type=w1200,"['에틸벤젠', 'ethylbenzene', '0.032', ['암 유발', '유전적 결함 발생 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['스타이렌', 'Styrene', '1.506', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['톨루엔', 'Toluene', '0.056', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['에틸아세테이트', 'Ethyl Acetate', '0.386', ['눈 자극', '어지럼증', '졸음']]","['옥탄', 'octane', '0.08', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['노난', 'nonane', '0.274', ['피부 자극', '호흡기 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['쿠멘', 'Cumene', '0.089', ['호흡기 자극', '수생 생물에 대한 장기적 피해']]","['프로필벤젠', 'PROPYLBENZENE', '0.314', ['호흡기 자극', '수생 생물에 대한 장기적 피해']]","['데칸', ' decane', '3.524', ['']]","['sec-부틸벤젠', 'sec-Butylbenzene', '0.089', ['피부 자극', '눈 자극', '수생 생물에 대한 장기적 피해']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '0.595', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['p-시멘', 'p-Cymene', '0.048', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '수생 생물에 대한 장기적 피해']]","['n-부틸벤젠', 'n-Butylbenzene', '0.073', ['피부 자극', '눈 자극', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '1.777', ['']]","['노나날', 'Nonanal', '0.53', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '2.349', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['2-에틸톨루엔', '2-Ethyltoluene', '0.443', ['눈 자극', '임신 혹은 태아에 대한 피해 가능성', '수생 생물에 대한 장기적 피해']]","['3-에틸톨루엔', '3-Ethyltoluene', '0.66', ['어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['4-에틸톨루엔', '4-Ethyltoluene', '0.483', ['']]","['1,2,3-트리메틸벤젠', '1,2,3-Trimethylbenzene', '0.249', ['피부 자극', '눈 자극', '호흡기 자극']]","['1,2,4-트리메틸벤젠', '1,2,4-Trimethylbenzene', '0.604', ['피부 자극', '눈 자극', '호흡기 자극', '수생 생물에 대한 장기적 피해']]","['1,3,5-트리메틸벤젠', '1,3,5-Trimethylbenzene', '1.223', ['피부 자극', '눈 자극', '호흡기 자극', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '2.726', ['']]","['트리데칸', 'Tridecanen', '2.478', ['']]","['테트라데칸', 'Tetradecanen', '4.192', ['']]","['n-펜타데칸', 'n-Pentadecane', '0.548', ['']]","['n-헥사데칸', 'n-Hexadecane', '5.673', ['']]","['아세톤', 'acetone', '0.15', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['1-부탄올', '1-butanol', '0.3', ['피부 자극', '눈 자극', '호흡기 자극', '어지럼증', '졸음']]",,,,,,
